Name,Email,Course,Age
Student_1,user_1@student.ac.uk,Automation,41
Student_2,user_2.email.com,Automation,27
Student_3,user_3.email.com,Business,38
Student_4,user_4@email.com,Unknown,34
Student_5,user_5@gmail.com,Business,25
Student_6,user_6.email.com,Automation,30
Student_7,user_7@gmail.com,Unknown,41
Student_8,user_8@student.ac.uk,Unknown,14
Student_9,user_9@gmail.com,Unknown,44
Student_10,user_10@student.ac.uk,Unknown,29
Student_11,user_11@email.com,Automation,34
Student_12,user_12@email.com,Business,17
Student_13,user_13@student.ac.uk,Automation,32
Student_14,user_14@student.ac.uk,Unknown,19
Student_15,user_15.email.com,Business,40
Student_16,user_16.email.com,Business,39
Student_17,user_17.email.com,Unknown,24
Student_18,user_18.email.com,Unknown,26
Student_19,user_19@gmail.com,Unknown,28
Student_20,user_20@email.com,Computing,29
Student_21,user_21@gmail.com,Business,37
Student_22,user_22@email.com,Business,37
Student_23,user_23.email.com,Business,15
Student_24,user_24.email.com,Computing,32
Student_25,user_25@email.com,Automation,37
Student_26,user_26.email.com,Computing,19
Student_27,user_27@gmail.com,Unknown,16
Student_28,user_28@student.ac.uk,Business,19
Student_29,user_29.email.com,Automation,14
Student_30,user_30@gmail.com,Business,28
Student_31,user_31@student.ac.uk,Automation,45
Student_32,user_32@student.ac.uk,Automation,25
Student_33,user_33@gmail.com,Business,35
Student_34,user_34@gmail.com,Unknown,29
Student_35,user_35@email.com,Business,44
Student_36,user_36@gmail.com,Business,40
Student_37,user_37@student.ac.uk,Automation,27
Student_38,user_38@email.com,Business,15
Student_39,user_39@student.ac.uk,Computing,45
Student_40,user_40.email.com,Computing,18
Student_41,user_41@gmail.com,Unknown,15
Student_42,user_42.email.com,Business,32
Student_43,user_43.email.com,Unknown,18
Student_44,user_44@gmail.com,Computing,18
Student_45,user_45@student.ac.uk,Automation,30
Student_46,user_46@student.ac.uk,Business,41
Student_47,user_47@email.com,Business,37
Student_48,user_48@student.ac.uk,Unknown,39
Student_49,user_49@gmail.com,Automation,28
Student_50,user_50.email.com,Business,35
Student_51,user_51.email.com,Automation,17
Student_52,user_52.email.com,Automation,26
Student_53,user_53@gmail.com,Unknown,37
Student_54,user_54@email.com,Automation,45
Student_55,user_55@email.com,Unknown,35
Student_56,user_56.email.com,Unknown,19
Student_57,user_57@gmail.com,Unknown,38
Student_58,user_58@email.com,Computing,34
Student_59,user_59@gmail.com,Automation,34
Student_60,user_60@email.com,Business,14
Student_61,user_61@student.ac.uk,Computing,21
Student_62,user_62@gmail.com,Computing,18
Student_63,user_63@gmail.com,Business,38
Student_64,user_64.email.com,Computing,14
Student_65,user_65@gmail.com,Unknown,27
Student_66,user_66@email.com,Business,16
Student_67,user_67@gmail.com,Automation,37
Student_68,user_68.email.com,Unknown,14
Student_69,user_69@email.com,Computing,27
Student_70,user_70@email.com,Unknown,22
Student_71,user_71@student.ac.uk,Unknown,31
Student_72,user_72.email.com,Unknown,35
Student_73,user_73@student.ac.uk,Unknown,15
Student_74,user_74.email.com,Business,35
Student_75,user_75@gmail.com,Business,24
Student_76,user_76@student.ac.uk,Business,18
Student_77,user_77.email.com,Business,32
Student_78,user_78@email.com,Computing,31
Student_79,user_79@student.ac.uk,Computing,34
Student_80,user_80@email.com,Unknown,25
Student_81,user_81@email.com,Unknown,41
Student_82,user_82@email.com,Unknown,42
Student_83,user_83@email.com,Unknown,35
Student_84,user_84.email.com,Computing,39
Student_85,user_85@email.com,Computing,17
Student_86,user_86@email.com,Unknown,39
Student_87,user_87@email.com,Computing,42
Student_88,user_88@gmail.com,Unknown,37
Student_89,user_89.email.com,Unknown,15
Student_90,user_90.email.com,Business,20
Student_91,user_91.email.com,Computing,22
Student_92,user_92@gmail.com,Unknown,15
Student_93,user_93@gmail.com,Automation,28
Student_94,user_94@email.com,Computing,38
Student_95,user_95@email.com,Computing,24
Student_96,user_96.email.com,Business,18
Student_97,user_97@email.com,Business,18
Student_98,user_98.email.com,Unknown,27
Student_99,user_99@student.ac.uk,Automation,36
Student_100,user_100@gmail.com,Business,29
Student_101,user_101@student.ac.uk,Business,42
Student_102,user_102@email.com,Business,26
Student_103,user_103@email.com,Computing,19
Student_104,user_104@student.ac.uk,Automation,27
Student_105,user_105@email.com,Computing,27
Student_106,user_106.email.com,Computing,30
Student_107,user_107@email.com,Automation,39
Student_108,user_108@email.com,Computing,29
Student_109,user_109@gmail.com,Unknown,29
Student_110,user_110@gmail.com,Computing,41
Student_111,user_111@email.com,Business,14
Student_112,user_112.email.com,Computing,19
Student_113,user_113.email.com,Computing,32
Student_114,user_114@student.ac.uk,Business,18
Student_115,user_115@student.ac.uk,Unknown,25
Student_116,user_116.email.com,Computing,16
Student_117,user_117.email.com,Automation,16
Student_118,user_118@email.com,Automation,21
Student_119,user_119@gmail.com,Automation,30
Student_120,user_120@student.ac.uk,Business,19
Student_121,user_121.email.com,Computing,35
Student_122,user_122@student.ac.uk,Business,21
Student_123,user_123.email.com,Automation,17
Student_124,user_124.email.com,Computing,22
Student_125,user_125@student.ac.uk,Business,31
Student_126,user_126@gmail.com,Unknown,15
Student_127,user_127@email.com,Business,43
Student_128,user_128@email.com,Unknown,24
Student_129,user_129@email.com,Automation,16
Student_130,user_130@gmail.com,Automation,41
